source	target	te_value	unique_info	redundant_info	synergistic_info	total_info
APOD	TNFRSF1B	0.146808	0.146808	0.000000	0.000000	0.146808
APOD	GPSM3	0.139946	0.139946	0.000000	0.000000	0.139946
APOD	ICAM1	0.134125	0.134125	0.000000	0.000000	0.134125
APOD	ARHGDIB	0.134032	0.134032	0.000000	0.000000	0.134032
APOD	PILRA	0.133592	0.133592	0.000000	0.000000	0.133592
S100B	TNFRSF1B	0.145347	0.145347	0.000000	0.000000	0.145347
S100B	EVI2B	0.126714	0.126714	0.000000	0.000000	0.126714
S100B	PILRA	0.126513	0.126513	0.000000	0.000000	0.126513
S100B	GPSM3	0.125020	0.125020	0.000000	0.000000	0.125020
S100B	ICAM1	0.124987	0.124987	0.000000	0.000000	0.124987
MT3	TNFRSF1B	0.134236	0.134236	0.000000	0.000000	0.134236
MT3	EVI2B	0.116802	0.116802	0.000000	0.000000	0.116802
MT3	PILRA	0.111383	0.111383	0.000000	0.000000	0.111383
MT3	GPSM3	0.111025	0.111025	0.000000	0.000000	0.111025
MT3	ICAM1	0.108870	0.108870	0.000000	0.000000	0.108870
S100A8	S100A6	0.101047	0.101047	0.000000	0.000000	0.101047
S100A8	APOD	0.096560	0.096560	0.000000	0.000000	0.096560
S100A8	PILRA	0.095256	0.095256	0.000000	0.000000	0.095256
S100A8	MT3	0.089847	0.089847	0.000000	0.000000	0.089847
S100A8	MTRNR2L12	0.078436	0.078436	0.000000	0.000000	0.078436
S100A9	S100B	0.095531	0.095531	0.000000	0.000000	0.095531
S100A9	APOD	0.085505	0.085505	0.000000	0.000000	0.085505
S100A9	S100A6	0.083290	0.083290	0.000000	0.000000	0.083290
S100A9	MT3	0.078477	0.078477	0.000000	0.000000	0.078477
S100A9	MT2A	0.071806	0.071806	0.000000	0.000000	0.071806
FCER1G	PLEK	0.078461	0.078461	0.000000	0.000000	0.078461
FCER1G	C5AR1	0.072984	0.072984	0.000000	0.000000	0.072984
FCER1G	LYN	0.072346	0.072346	0.000000	0.000000	0.072346
FCER1G	CD69	0.072187	0.072187	0.000000	0.000000	0.072187
FCER1G	FPR1	0.068233	0.068233	0.000000	0.000000	0.068233
IFITM2	MT2A	0.096677	0.096677	0.000000	0.000000	0.096677
IFITM2	ICAM1	0.089035	0.089035	0.000000	0.000000	0.089035
IFITM2	MTRNR2L12	0.083196	0.083196	0.000000	0.000000	0.083196
IFITM2	HSPA1A	0.081007	0.081007	0.000000	0.000000	0.081007
IFITM2	APOD	0.080740	0.080740	0.000000	0.000000	0.080740
CCL3L1	CD69	0.070467	0.070467	0.000000	0.000000	0.070467
CCL3L1	PILRA	0.069733	0.069733	0.000000	0.000000	0.069733
CCL3L1	IFITM2	0.068111	0.068111	0.000000	0.000000	0.068111
CCL3L1	LYN	0.065929	0.065929	0.000000	0.000000	0.065929
CCL3L1	S100A11	0.063929	0.063929	0.000000	0.000000	0.063929
CSF3R	FPR1	0.065008	0.065008	0.000000	0.000000	0.065008
CSF3R	SPI1	0.057161	0.057161	0.000000	0.000000	0.057161
CSF3R	LST1	0.052814	0.052814	0.000000	0.000000	0.052814
CSF3R	ICAM1	0.050965	0.050965	0.000000	0.000000	0.050965
CSF3R	EVI2B	0.049155	0.049155	0.000000	0.000000	0.049155
FPR1	IFITM2	0.061803	0.061803	0.000000	0.000000	0.061803
FPR1	C5AR1	0.054804	0.054804	0.000000	0.000000	0.054804
FPR1	PILRA	0.049402	0.049402	0.000000	0.000000	0.049402
FPR1	SPI1	0.041647	0.041647	0.000000	0.000000	0.041647
FPR1	LST1	0.038378	0.038378	0.000000	0.000000	0.038378
