rank	gene	tumor_collapse	healthy_impact	therapeutic_index	infinite
1	WAS	0.052349	0.004301	12.17	False
2	ARHGDIB	0.161917	0.013654	11.86	False
3	SIPA1	0.008841	0.000780	11.33	False
4	GCA	0.038299	0.003510	10.91	False
5	GPSM3	0.029516	0.002711	10.89	False
6	LYN	0.197926	0.018284	10.83	False
7	S100A11	0.453841	0.041970	10.81	False
8	SMAP2	0.331470	0.030809	10.76	False
9	SLC25A37	0.073649	0.006941	10.61	False
10	EVI2B	0.059523	0.005614	10.60	False
11	CD69	0.161227	0.015320	10.52	False
12	PILRA	0.154853	0.015079	10.27	False
13	S100A6	0.211902	0.021039	10.07	False
14	ICAM1	0.020858	0.002078	10.04	False
15	CST3	0.455104	0.045492	10.00	False
16	CXCL8	0.096856	0.009787	9.90	False
17	SERPINA1	0.066766	0.006896	9.68	False
18	CCL3L1	0.632211	0.065534	9.65	False
19	SPI1	0.400625	0.041655	9.62	False
20	C5AR1	0.171008	0.017922	9.54	False
21	LST1	0.149743	0.015788	9.48	False
22	CSF3R	0.518246	0.054642	9.48	False
23	FPR1	0.388868	0.041557	9.36	False
24	HCK	0.109328	0.011754	9.30	False
25	PLEK	0.108863	0.012146	8.96	False
26	BCL2A1	0.044168	0.004954	8.92	False
27	S100A9	0.757896	0.085039	8.91	False
28	LCP1	0.044964	0.005069	8.87	False
29	IFITM2	0.828225	0.094465	8.77	False
30	FCER1G	0.654251	0.075160	8.70	False
31	GMFG	0.036021	0.004160	8.66	False
32	TNFRSF1B	0.041602	0.004853	8.57	False
33	NCF1	0.020056	0.002385	8.41	False
34	S100A8	0.863747	0.103304	8.36	False
35	BASP1	0.022278	0.002983	7.47	False
36	TALDO1	0.057743	0.007950	7.26	False
37	PLAUR	0.037420	0.005194	7.20	False
38	TAGLN2	0.016295	0.002818	5.78	False
39	EFHD2	0.010995	0.001987	5.53	False
40	NAMPT	0.009159	0.001812	5.06	False
41	MT3	0.950455	0.202401	4.70	False
42	S100B	0.951235	0.248359	3.83	False
43	APOD	0.950817	0.287257	3.31	False
44	CSK	0.001507	0.000567	2.66	False
45	SOD2	0.002200	0.000994	2.21	False
46	IFITM3	0.001641	0.000777	2.11	False
47	PPP1R18	0.001403	0.001194	1.18	False
48	MT2A	0.000536	0.000889	0.60	False
49	HSPA1A	0.000000	0.002284	0.00	False
50	HSPA1B	0.000000	0.000896	0.00	False
51	SH3BGRL3	0.000000	0.000000	0.00	False
52	ATP5F1E	0.000000	0.000000	0.00	False
53	MYL6	0.000000	0.000000	0.00	False
54	TXNIP	0.000000	0.000000	0.00	False
55	H3F3A	0.000000	0.000000	0.00	False
56	GAPDH	0.000000	0.001333	0.00	False
57	YPEL3	0.000000	0.000000	0.00	False
58	MT-ND4L	0.000000	0.000000	0.00	False
59	LAMTOR4	0.000000	0.000000	0.00	False
60	TSPO	0.000000	0.000000	0.00	False
61	RGS2	0.000000	0.000000	0.00	False
62	MT-ATP6	0.000000	0.000000	0.00	False
63	MT-CO2	0.000000	0.000000	0.00	False
64	MT-CO3	0.000000	0.000000	0.00	False
65	SDCBP	0.000000	0.000309	0.00	False
66	ANP32A	0.000000	0.000000	0.00	False
67	RAB7A	0.000000	0.000000	0.00	False
68	PRR13	0.000000	0.000000	0.00	False
69	RNF149	0.000000	0.000000	0.00	False
70	SCAF11	0.000000	0.000000	0.00	False
71	LITAF	0.000000	0.000000	0.00	False
72	MTRNR2L12	0.000000	0.000238	0.00	False
73	LRRFIP1	0.000000	0.000146	0.00	False
74	MDM2	0.000000	0.000000	0.00	False
75	VMP1	0.000000	0.000000	0.00	False
76	HIST1H2AC	0.000000	0.000000	0.00	False
77	CFLAR	0.000000	0.000000	0.00	False
78	ACAP2	0.000000	0.001117	0.00	False
79	UBE2B	0.000000	0.000000	0.00	False
80	JAK1	0.000000	0.000000	0.00	False
81	SERPINB1	0.000000	0.000000	0.00	False
82	TKT	0.000000	0.000000	0.00	False
83	OS9	0.000000	0.000000	0.00	False
84	ZYX	0.000000	0.000000	0.00	False
85	YPEL5	0.000000	0.000000	0.00	False
86	PKM	0.000000	0.000000	0.00	False
87	MYH9	0.000000	0.000000	0.00	False
88	NDUFA1	0.000000	0.000000	0.00	False
89	KDM6B	0.000000	0.000000	0.00	False
90	PSMB3	0.000000	0.000000	0.00	False
91	C4orf3	0.000000	0.000000	0.00	False
92	PSME1	0.000000	0.000000	0.00	False
93	RASSF2	0.000000	0.000000	0.00	False
94	SNAP23	0.000000	0.000000	0.00	False
95	UBALD2	0.000000	0.000000	0.00	False
96	BCL6	0.000000	0.000000	0.00	False
97	ZNF106	0.000000	0.000000	0.00	False
98	FOXO3	0.000000	0.000000	0.00	False
99	GNG10	0.000000	0.000000	0.00	False
100	PTEN	0.000000	0.000173	0.00	False
